Species,Site
SP5,IDN-002-L0039
SP5,IDN-002-L0040
SP5,IDN-002-L0041
SP5,IDN-002-L0042
SP5,IDN-002-L0043
SP5,IDN-002-L0044
SP5,IDN-002-L0045
SP5,IDN-002-L0046
SP5,IDN-002-L0047
SP5,IDN-002-L0048
SP5,IDN-002-L0049
SP5,IDN-002-L0050
